root,1
DEF-hips,1
DEF-spine,1
DEF-chest,1
DEF-neck,1
DEF-head,1
DEF-shoulder.L,1
DEF-upper_arm.L,1
DEF-forearm.L,1
DEF-hand.L,1
DEF-palm.01.L,1
DEF-f_index.01.L,1
DEF-f_index.02.L,1
DEF-f_index.03.L,1
DEF-thumb.01.L,1
DEF-thumb.02.L,1
DEF-thumb.03.L,1
DEF-palm.02.L,1
DEF-f_middle.01.L,1
DEF-f_middle.02.L,1
DEF-f_middle.03.L,1
DEF-palm.03.L,1
DEF-f_ring.01.L,1
DEF-f_ring.02.L,1
DEF-f_ring.03.L,1
DEF-palm.04.L,1
DEF-f_pinky.01.L,1
DEF-f_pinky.02.L,1
DEF-f_pinky.03.L,1
DEF-shoulder.R,1
DEF-upper_arm.R,1
DEF-forearm.R,1
DEF-hand.R,1
DEF-palm.01.R,1
DEF-f_index.01.R,1
DEF-f_index.02.R,1
DEF-f_index.03.R,1
DEF-thumb.01.R,1
DEF-thumb.02.R,1
DEF-thumb.03.R,1
DEF-palm.02.R,1
DEF-f_middle.01.R,1
DEF-f_middle.02.R,1
DEF-f_middle.03.R,1
DEF-palm.03.R,1
DEF-f_ring.01.R,1
DEF-f_ring.02.R,1
DEF-f_ring.03.R,1
DEF-palm.04.R,1
DEF-f_pinky.01.R,1
DEF-f_pinky.02.R,1
DEF-f_pinky.03.R,1
DEF-thigh.L,1
DEF-shin.L,1
DEF-foot.L,1
DEF-toe.L,1
DEF-heel.L,1
DEF-heel.02.L,1
DEF-thigh.R,1
DEF-shin.R,1
DEF-foot.R,1
DEF-toe.R,1
DEF-heel.R,1
DEF-heel.02.R,1
