DEF-hips,ORG-hips
DEF-spine,ORG-spine
DEF-chest,ORG-chest
DEF-neck,ORG-neck
DEF-head,ORG-head
DEF-shoulder.L,ORG-shoulder.L
DEF-hand.L,ORG-hand.L
DEF-palm.01.L,ORG-palm.01.L
DEF-f_index.02.L,ORG-f_index.02.L
DEF-f_index.03.L,ORG-f_index.03.L
DEF-thumb.02.L,ORG-thumb.02.L
DEF-thumb.03.L,ORG-thumb.03.L
DEF-palm.02.L,ORG-palm.02.L
DEF-f_middle.02.L,ORG-f_middle.02.L
DEF-f_middle.03.L,ORG-f_middle.03.L
DEF-palm.03.L,ORG-palm.03.L
DEF-f_ring.02.L,ORG-f_ring.02.L
DEF-f_ring.03.L,ORG-f_ring.03.L
DEF-palm.04.L,ORG-palm.04.L
DEF-f_pinky.02.L,ORG-f_pinky.02.L
DEF-f_pinky.03.L,ORG-f_pinky.03.L
DEF-shoulder.R,ORG-shoulder.R
DEF-hand.R,ORG-hand.R
DEF-palm.01.R,ORG-palm.01.R
DEF-f_index.02.R,ORG-f_index.02.R
DEF-f_index.03.R,ORG-f_index.03.R
DEF-thumb.02.R,ORG-thumb.02.R
DEF-thumb.03.R,ORG-thumb.03.R
DEF-palm.02.R,ORG-palm.02.R
DEF-f_middle.02.R,ORG-f_middle.02.R
DEF-f_middle.03.R,ORG-f_middle.03.R
DEF-palm.03.R,ORG-palm.03.R
DEF-f_ring.02.R,ORG-f_ring.02.R
DEF-f_ring.03.R,ORG-f_ring.03.R
DEF-palm.04.R,ORG-palm.04.R
DEF-f_pinky.02.R,ORG-f_pinky.02.R
DEF-f_pinky.03.R,ORG-f_pinky.03.R
DEF-foot.L,ORG-foot.L
DEF-toe.L,ORG-toe.L
DEF-foot.R,ORG-foot.R
DEF-toe.R,ORG-toe.R
DEF-f_index.01.L.01,ORG-f_index.01.L
DEF-f_index.01.L.02,ORG-f_index.01.L
DEF-thumb.01.L.01,ORG-thumb.01.L
DEF-thumb.01.L.02,ORG-thumb.01.L
DEF-f_middle.01.L.01,ORG-f_middle.01.L
DEF-f_middle.01.L.02,ORG-f_middle.01.L
DEF-f_ring.01.L.01,ORG-f_ring.01.L
DEF-f_ring.01.L.02,ORG-f_ring.01.L
DEF-f_pinky.01.L.01,ORG-f_pinky.01.L
DEF-f_pinky.01.L.02,ORG-f_pinky.01.L
DEF-forearm.01.L,ORG-forearm.L
DEF-forearm.02.L,ORG-forearm.L
DEF-upper_arm.01.L,ORG-upper_arm.L
DEF-upper_arm.02.L,ORG-upper_arm.L
DEF-shin.01.L,ORG-shin.L
DEF-shin.02.L,ORG-shin.L
DEF-thigh.01.L,ORG-thigh.L
DEF-thigh.02.L,ORG-thigh.L
DEF-f_index.01.R.01,ORG-f_index.01.R
DEF-f_index.01.R.02,ORG-f_index.01.R
DEF-thumb.01.R.01,ORG-thumb.01.R
DEF-thumb.01.R.02,ORG-thumb.01.R
DEF-f_middle.01.R.01,ORG-f_middle.01.R
DEF-f_middle.01.R.02,ORG-f_middle.01.R
DEF-f_ring.01.R.01,ORG-f_ring.01.R
DEF-f_ring.01.R.02,ORG-f_ring.01.R
DEF-f_pinky.01.R.01,ORG-f_pinky.01.R
DEF-f_pinky.01.R.02,ORG-f_pinky.01.R
DEF-forearm.01.R,ORG-forearm.R
DEF-forearm.02.R,ORG-forearm.R
DEF-upper_arm.01.R,ORG-upper_arm.R
DEF-upper_arm.02.R,ORG-upper_arm.R
DEF-shin.01.R,ORG-shin.R
DEF-shin.02.R,ORG-shin.R
DEF-thigh.01.R,ORG-thigh.R
DEF-thigh.02.R,ORG-thigh.R
